viewpoint,avg_occlusion
theta000_phi000,0.000000
theta000_phi010,0.000000
theta000_phi020,0.000000
theta000_phi030,0.000000
theta000_phi040,0.000000
theta000_phi050,0.000000
theta000_phi060,0.000000
theta000_phi070,0.000000
theta000_phi080,0.000000
theta000_phi090,0.000000
theta000_phi100,0.000000
theta000_phi110,0.000000
theta000_phi120,0.000000
theta000_phi130,0.000000
theta000_phi140,0.000000
theta000_phi150,0.000000
theta000_phi160,0.000000
theta000_phi170,0.000000
theta000_phi180,0.000000
theta000_phi190,0.000000
theta000_phi200,0.000000
theta000_phi210,0.000000
theta000_phi220,0.000000
theta000_phi230,0.000000
theta000_phi240,0.000000
theta000_phi250,0.000000
theta000_phi260,0.000000
theta000_phi270,0.000000
theta000_phi280,0.000000
theta000_phi290,0.000000
theta000_phi300,0.000000
theta000_phi310,0.000000
theta000_phi320,0.000000
theta000_phi330,0.000000
theta000_phi340,0.000000
theta000_phi350,0.000000
theta018_phi000,0.000000
theta018_phi010,0.000000
theta018_phi020,0.000000
theta018_phi030,0.000000
theta018_phi040,0.000000
theta018_phi050,0.000000
theta018_phi060,0.000000
theta018_phi070,0.000000
theta018_phi080,0.000000
theta018_phi090,0.000000
theta018_phi100,0.000000
theta018_phi110,0.000000
theta018_phi120,0.000000
theta018_phi130,0.000000
theta018_phi140,0.000000
theta018_phi150,0.000000
theta018_phi160,0.000000
theta018_phi170,0.000000
theta018_phi180,0.000000
theta018_phi190,0.000000
theta018_phi200,0.000000
theta018_phi210,0.000000
theta018_phi220,0.000000
theta018_phi230,0.000000
theta018_phi240,0.000000
theta018_phi250,0.000000
theta018_phi260,0.000000
theta018_phi270,0.000000
theta018_phi280,0.000000
theta018_phi290,0.000000
theta018_phi300,0.000000
theta018_phi310,0.000000
theta018_phi320,0.000000
theta018_phi330,0.000000
theta018_phi340,0.000000
theta018_phi350,0.000000
theta036_phi000,4.140969
theta036_phi010,4.052863
theta036_phi020,4.074074
theta036_phi030,3.207547
theta036_phi040,1.708543
theta036_phi050,0.414508
theta036_phi060,0.000000
theta036_phi070,0.000000
theta036_phi080,0.000000
theta036_phi090,0.000000
theta036_phi100,0.000000
theta036_phi110,0.000000
theta036_phi120,0.000000
theta036_phi130,0.000000
theta036_phi140,0.000000
theta036_phi150,0.000000
theta036_phi160,0.000000
theta036_phi170,0.000000
theta036_phi180,0.000000
theta036_phi190,0.000000
theta036_phi200,0.000000
theta036_phi210,0.000000
theta036_phi220,0.000000
theta036_phi230,0.000000
theta036_phi240,0.000000
theta036_phi250,0.000000
theta036_phi260,0.000000
theta036_phi270,0.000000
theta036_phi280,0.000000
theta036_phi290,0.000000
theta036_phi300,0.000000
theta036_phi310,0.000000
theta036_phi320,0.000000
theta036_phi330,1.261261
theta036_phi340,2.555066
theta036_phi350,3.739130
theta054_phi000,15.241935
theta054_phi010,15.691057
theta054_phi020,15.518672
theta054_phi030,14.430380
theta054_phi040,11.555556
theta054_phi050,7.647783
theta054_phi060,3.848595
theta054_phi070,0.876232
theta054_phi080,1.872832
theta054_phi090,2.624544
theta054_phi100,2.468514
theta054_phi110,1.694915
theta054_phi120,1.295964
theta054_phi130,2.065753
theta054_phi140,3.265306
theta054_phi150,4.065934
theta054_phi160,4.452630
theta054_phi170,4.069767
theta054_phi180,2.887038
theta054_phi190,1.466291
theta054_phi200,0.240870
theta054_phi210,0.079681
theta054_phi220,0.000000
theta054_phi230,0.000000
theta054_phi240,0.000000
theta054_phi250,0.000000
theta054_phi260,0.000000
theta054_phi270,0.000000
theta054_phi280,0.000000
theta054_phi290,0.000000
theta054_phi300,0.000000
theta054_phi310,0.346320
theta054_phi320,3.263598
theta054_phi330,7.611336
theta054_phi340,11.612903
theta054_phi350,14.285714
theta072_phi000,30.514117
theta072_phi010,26.279491
theta072_phi020,21.734678
theta072_phi030,24.020101
theta072_phi040,27.105917
theta072_phi050,24.364304
theta072_phi060,17.734010
theta072_phi070,9.670125
theta072_phi080,11.489436
theta072_phi090,13.754685
theta072_phi100,13.526693
theta072_phi110,11.512051
theta072_phi120,11.877094
theta072_phi130,12.842076
theta072_phi140,14.728756
theta072_phi150,16.818981
theta072_phi160,19.086512
theta072_phi170,20.528671
theta072_phi180,19.422122
theta072_phi190,14.371945
theta072_phi200,8.423946
theta072_phi210,4.841335
theta072_phi220,2.926238
theta072_phi230,1.170376
theta072_phi240,0.237069
theta072_phi250,0.000000
theta072_phi260,0.000000
theta072_phi270,0.000000
theta072_phi280,0.302267
theta072_phi290,0.121065
theta072_phi300,0.000000
theta072_phi310,2.337333
theta072_phi320,9.214490
theta072_phi330,19.560626
theta072_phi340,28.148596
theta072_phi350,32.156634
theta090_phi000,52.449381
theta090_phi010,40.648217
theta090_phi020,31.064584
theta090_phi030,27.485862
theta090_phi040,26.212323
theta090_phi050,27.478385
theta090_phi060,21.350570
theta090_phi070,17.564430
theta090_phi080,19.990288
theta090_phi090,22.328852
theta090_phi100,27.597796
theta090_phi110,30.763420
theta090_phi120,31.851093
theta090_phi130,35.178974
theta090_phi140,36.872899
theta090_phi150,37.438951
theta090_phi160,40.405605
theta090_phi170,44.083090
theta090_phi180,39.169007
theta090_phi190,31.313112
theta090_phi200,23.929700
theta090_phi210,17.415718
theta090_phi220,13.864976
theta090_phi230,12.701280
theta090_phi240,19.101841
theta090_phi250,27.258208
theta090_phi260,23.209607
theta090_phi270,29.973527
theta090_phi280,33.044469
theta090_phi290,41.681246
theta090_phi300,42.892951
theta090_phi310,42.250285
theta090_phi320,37.363706
theta090_phi330,33.962118
theta090_phi340,45.484278
theta090_phi350,56.826582
full_scene,8.299366
