viewpoint,avg_proximity
theta000_phi000,18.958
theta000_phi010,26.001
theta000_phi020,18.877
theta000_phi030,21.338
theta000_phi040,26.571
theta000_phi050,20.840
theta000_phi060,18.412
theta000_phi070,20.947
theta000_phi080,21.670
theta000_phi090,17.924
theta000_phi100,28.084
theta000_phi110,19.171
theta000_phi120,21.630
theta000_phi130,16.425
theta000_phi140,17.859
theta000_phi150,23.736
theta000_phi160,24.658
theta000_phi170,20.688
theta000_phi180,16.489
theta000_phi190,21.144
theta000_phi200,20.552
theta000_phi210,20.730
theta000_phi220,25.422
theta000_phi230,20.471
theta000_phi240,21.648
theta000_phi250,21.536
theta000_phi260,22.219
theta000_phi270,27.278
theta000_phi280,22.431
theta000_phi290,17.939
theta000_phi300,21.562
theta000_phi310,30.467
theta000_phi320,20.242
theta000_phi330,19.478
theta000_phi340,14.677
theta000_phi350,26.081
theta018_phi000,19.620
theta018_phi010,21.061
theta018_phi020,24.642
theta018_phi030,30.197
theta018_phi040,24.937
theta018_phi050,27.008
theta018_phi060,15.908
theta018_phi070,24.837
theta018_phi080,21.315
theta018_phi090,25.425
theta018_phi100,16.407
theta018_phi110,27.041
theta018_phi120,14.534
theta018_phi130,15.854
theta018_phi140,15.123
theta018_phi150,15.785
theta018_phi160,19.299
theta018_phi170,31.841
theta018_phi180,20.492
theta018_phi190,12.859
theta018_phi200,16.493
theta018_phi210,17.503
theta018_phi220,22.643
theta018_phi230,17.927
theta018_phi240,15.595
theta018_phi250,17.676
theta018_phi260,25.737
theta018_phi270,31.368
theta018_phi280,21.788
theta018_phi290,31.683
theta018_phi300,21.734
theta018_phi310,18.694
theta018_phi320,24.354
theta018_phi330,20.424
theta018_phi340,16.364
theta018_phi350,27.017
theta036_phi000,15.343
theta036_phi010,21.481
theta036_phi020,22.276
theta036_phi030,19.028
theta036_phi040,20.292
theta036_phi050,25.024
theta036_phi060,11.723
theta036_phi070,20.888
theta036_phi080,17.621
theta036_phi090,16.569
theta036_phi100,18.838
theta036_phi110,13.668
theta036_phi120,18.887
theta036_phi130,12.871
theta036_phi140,10.118
theta036_phi150,14.112
theta036_phi160,17.655
theta036_phi170,10.126
theta036_phi180,10.129
theta036_phi190,21.228
theta036_phi200,14.987
theta036_phi210,17.849
theta036_phi220,18.832
theta036_phi230,17.218
theta036_phi240,17.930
theta036_phi250,22.770
theta036_phi260,23.386
theta036_phi270,18.904
theta036_phi280,24.953
theta036_phi290,29.536
theta036_phi300,25.353
theta036_phi310,28.291
theta036_phi320,23.085
theta036_phi330,28.782
theta036_phi340,20.861
theta036_phi350,23.401
theta054_phi000,20.761
theta054_phi010,19.707
theta054_phi020,19.279
theta054_phi030,25.987
theta054_phi040,18.967
theta054_phi050,20.999
theta054_phi060,20.053
theta054_phi070,18.715
theta054_phi080,15.168
theta054_phi090,17.737
theta054_phi100,12.156
theta054_phi110,8.867
theta054_phi120,11.851
theta054_phi130,12.349
theta054_phi140,11.630
theta054_phi150,14.664
theta054_phi160,6.708
theta054_phi170,6.048
theta054_phi180,9.261
theta054_phi190,11.722
theta054_phi200,12.799
theta054_phi210,19.071
theta054_phi220,10.871
theta054_phi230,15.790
theta054_phi240,20.160
theta054_phi250,10.622
theta054_phi260,18.109
theta054_phi270,21.597
theta054_phi280,21.399
theta054_phi290,24.212
theta054_phi300,24.451
theta054_phi310,24.174
theta054_phi320,19.900
theta054_phi330,29.025
theta054_phi340,30.228
theta054_phi350,22.224
theta072_phi000,11.446
theta072_phi010,11.493
theta072_phi020,14.156
theta072_phi030,10.199
theta072_phi040,14.818
theta072_phi050,18.144
theta072_phi060,18.814
theta072_phi070,14.117
theta072_phi080,15.300
theta072_phi090,15.897
theta072_phi100,7.765
theta072_phi110,23.417
theta072_phi120,13.597
theta072_phi130,6.765
theta072_phi140,6.476
theta072_phi150,11.638
theta072_phi160,10.871
theta072_phi170,9.366
theta072_phi180,8.510
theta072_phi190,13.335
theta072_phi200,9.128
theta072_phi210,9.290
theta072_phi220,9.566
theta072_phi230,11.423
theta072_phi240,9.093
theta072_phi250,12.815
theta072_phi260,16.809
theta072_phi270,14.040
theta072_phi280,19.575
theta072_phi290,11.154
theta072_phi300,15.925
theta072_phi310,13.374
theta072_phi320,12.124
theta072_phi330,11.013
theta072_phi340,11.755
theta072_phi350,9.360
theta090_phi000,4.963
theta090_phi010,8.312
theta090_phi020,18.072
theta090_phi030,19.672
theta090_phi040,20.151
theta090_phi050,14.924
theta090_phi060,19.530
theta090_phi070,13.754
theta090_phi080,18.322
theta090_phi090,10.714
theta090_phi100,8.970
theta090_phi110,8.242
theta090_phi120,5.730
theta090_phi130,4.153
theta090_phi140,5.094
theta090_phi150,3.258
theta090_phi160,3.246
theta090_phi170,4.728
theta090_phi180,5.537
theta090_phi190,4.711
theta090_phi200,7.348
theta090_phi210,5.410
theta090_phi220,13.255
theta090_phi230,14.798
theta090_phi240,11.425
theta090_phi250,19.969
theta090_phi260,18.443
theta090_phi270,17.933
theta090_phi280,17.470
theta090_phi290,12.583
theta090_phi300,7.506
theta090_phi310,7.182
theta090_phi320,3.262
theta090_phi330,2.183
theta090_phi340,2.952
theta090_phi350,4.570
full_scene,17.072
